Id,Prediction,Usage
1,0,Public
2,0,Public
5,0,Public
8,0,Public
10,0,Public
11,0,Public
12,0,Public
15,1,Public
17,0,Public
19,0,Public
22,0,Public
24,0,Public
25,0,Public
26,0,Public
27,0,Public
28,0,Public
29,0,Public
30,0,Public
31,1,Public
32,0,Public
34,1,Public
36,1,Public
37,1,Public
39,0,Public
40,0,Public
41,1,Public
42,0,Public
43,0,Public
44,0,Public
45,0,Public
47,1,Public
48,1,Public
49,1,Public
52,0,Public
54,0,Public
57,0,Public
58,0,Public
59,0,Public
60,0,Public
61,0,Public
62,0,Public
64,0,Public
66,1,Public
68,1,Public
70,0,Public
73,0,Public
74,0,Public
76,1,Public
77,1,Public
78,0,Public
79,0,Public
80,1,Public
81,1,Public
82,1,Public
83,1,Public
84,1,Public
85,1,Public
87,1,Public
88,1,Public
89,1,Public
90,1,Public
93,1,Public
95,0,Public
96,0,Public
98,0,Public
99,0,Public
100,0,Public
102,0,Public
104,0,Public
105,1,Public
106,1,Public
107,0,Public
109,0,Public
110,0,Public
114,0,Public
117,0,Public
118,0,Public
119,0,Public
120,0,Public
122,0,Public
